"GEOID","NAME","location","year_built.x","number_of_bathrooms.x","number_of_bedrooms.x","total_livable_area.x","sale_price.x","log_sale_price.x","BACH_PROP","WHITE_PROP","Pov_Prop","Vacancy_Rate","MEDHHINCE","near_transit","Dist_Homicide","Dist_BurgRob","Dist_Comcor","parks_400","parks_800","dist_centercity","redlining_grade","industrial_knn31","Name","crime_score","vacant_and_BurgRob","distcentercity_transit","education_and_pov"
"421010332001","Block Group 1; Census Tract 332; Philadelphia County; Pennsylvania","3139 GUILFORD ST",1953,1,3,1530,303000,12.6214880844915,7.93051359516616,41.9184290030211,17.3716012084592,0,61366,0,3153.18746252954,417.636396689351,1980.51696366843,0,3,46409.8586876647,"2",3090.67778192169,"Mayfair",228,0,0,137.765719553491
"421010291004","Block Group 4; Census Tract 291; Philadelphia County; Pennsylvania","724 GARLAND ST",1935,1,3,1212,160000,11.982929094216,0,0.366300366300366,28.5714285714286,5.33333333333333,41413,1,2299.31086496114,607.890251011415,1362.11563871263,2,2,32455.1637336778,"3",1598.61170205027,"Lawndale",79,3242.08133872754,32455.1637336778,0
"421010212001","Block Group 1; Census Tract 212; Philadelphia County; Pennsylvania","510 DUPONT ST",1900,2,5,1896,395000,12.8866410438833,24.8587570621469,78.405524168236,8.72567482736974,3.49740932642487,115164,0,11308.8542317655,3379.12813799576,1750.89479567592,1,7,33356.7023778885,"2",700.683178471951,"Roxborough",187,11818.1942650111,0,216.909430736875
"421010033005","Block Group 5; Census Tract 33; Philadelphia County; Pennsylvania","1531 S 30TH ST",1925,1,3,1036,210000,12.2548628096996,21.5203426124197,18.9507494646681,14.4539614561028,0,83500,0,2030.67850054202,649.747094229239,2362.60899780822,3,4,10712.5894004324,"4",1001.90806019061,"Grays Ferry",194,0,0,311.054202642041
"421010253001","Block Group 1; Census Tract 253; Philadelphia County; Pennsylvania","230 MONTANA ST",1925,2,3,1064,255000,12.4490188241406,11.4470842332613,1.9438444924406,0,20,49558,0,5133.78904765155,733.443798828393,1102.87374085962,2,4,36981.6725650917,"3",492.430334893766,"Mount Airy, East",188,14668.8759765679,0,0
"421010379004","Block Group 4; Census Tract 379; Philadelphia County; Pennsylvania","3264 TILTON ST",1910,1,2,956,180500,12.1034860567551,52.8301886792453,80.251572327044,3.0188679245283,31.4500941619586,118500,1,5173.01100430017,701.68495345852,1850.07299187706,3,7,21315.8290308758,"4",329.232843778672,"Richmond",363,22068.0578583,21315.8290308758,159.487362050552
"421010184002","Block Group 2; Census Tract 184; Philadelphia County; Pennsylvania","4611 EMERY ST",2023,3,4,2163,526000,13.1730564917198,6.1550759392486,90.8872901678657,18.8649080735412,0,45676,0,4785.53545421426,2960.2087556435,2806.71816078525,1,2,31785.7545291175,"3",196.633607158647,"Bridesburg",234,0,0,116.11494177959
"421010348033","Block Group 3; Census Tract 348.03; Philadelphia County; Pennsylvania","9249 OUTLOOK AVE",1957,1,3,1480,365000,12.8076526325646,13.1004366812227,77.5836972343523,0.291120815138282,0,87250,0,8377.77648871388,3361.07046968876,2075.68087781001,1,3,59218.2984695321,"3",3159.76716575109,"Academy Gardens",76,0,0,3.813809805305
"421010082006","Block Group 6; Census Tract 82; Philadelphia County; Pennsylvania","6039 CARPENTER ST",1920,2,4,1840,199900,12.2055725204885,5.43773790103317,4.83958673191952,12.5611745513866,18.078381795196,63403,0,1874.8675639151,865.357735680169,1557.68037300132,2,6,22695.3007984855,"2",1613.30608390635,"Cobbs Creek",190,15644.2675350524,0,68.3043749395682
"421010362021","Block Group 1; Census Tract 362.02; Philadelphia County; Pennsylvania","3650 SALINA RD",1965,1,3,1440,320000,12.6760762747759,13.8161559888579,91.9777158774373,2.61838440111421,0,98602,0,15823.3572347212,2539.59417256306,2656.40703249886,2,2,71565.0159615966,"0",1902.38997603047,"Modena",134,0,0,36.1760073245862
"421010348032","Block Group 2; Census Tract 348.03; Philadelphia County; Pennsylvania","3616 GOLFVIEW LN",2024,3,4,3168,634000,13.3598042334194,14.2354124748491,77.2635814889336,18.3601609657948,13.6797454931071,104212,0,9941.85589229795,4383.52349095633,2528.0620301131,2,3,61057.5954470977,"3",4320.27566891897,"Academy Gardens",174,59965.4857193389,0,261.364464452713
"421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","815-37 ARCH ST",2007,2,3,1142,350000,12.7656884334656,15.4977375565611,24.9434389140271,33.314479638009,4.27509293680297,32362,1,2907.86217342938,945.440713696864,466.110392609835,2,4,2835.12131634134,"0",656.462911586444,"Old City",764,4041.84691729142,2835.12131634134,516.299062263262
"421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","815-37 ARCH ST",2007,2,3,1142,350000,12.7656884334656,15.4977375565611,24.9434389140271,33.314479638009,4.27509293680297,32362,1,2907.86217342938,945.440713696864,466.110392609835,2,4,2835.12131634134,"0",656.462911586444,"Old City",764,4041.84691729142,2835.12131634134,516.299062263262
"421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","815-37 ARCH ST",2007,2,3,1142,350000,12.7656884334656,15.4977375565611,24.9434389140271,33.314479638009,4.27509293680297,32362,1,2907.86217342938,945.440713696864,466.110392609835,2,4,2835.12131634134,"0",656.462911586444,"Old City",764,4041.84691729142,2835.12131634134,516.299062263262
"421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","815-37 ARCH ST",2007,2,3,1142,350000,12.7656884334656,15.4977375565611,24.9434389140271,33.314479638009,4.27509293680297,32362,1,2907.86217342938,945.440713696864,466.110392609835,2,4,2835.12131634134,"0",656.462911586444,"Old City",764,4041.84691729142,2835.12131634134,516.299062263262
"421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","815-37 ARCH ST",2007,2,3,1142,350000,12.7656884334656,15.4977375565611,24.9434389140271,33.314479638009,4.27509293680297,32362,1,2907.86217342938,945.440713696864,466.110392609835,2,4,2835.12131634134,"0",656.462911586444,"Old City",764,4041.84691729142,2835.12131634134,516.299062263262
"421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","815-37 ARCH ST",2007,2,3,1142,350000,12.7656884334656,15.4977375565611,24.9434389140271,33.314479638009,4.27509293680297,32362,1,2907.86217342938,945.440713696864,466.110392609835,2,4,2835.12131634134,"0",656.462911586444,"Old City",764,4041.84691729142,2835.12131634134,516.299062263262
"421010002001","Block Group 1; Census Tract 2; Philadelphia County; Pennsylvania","815-37 ARCH ST",2007,2,3,1142,350000,12.7656884334656,15.4977375565611,24.9434389140271,33.314479638009,4.27509293680297,32362,1,2907.86217342938,945.440713696864,466.110392609835,2,4,2835.12131634134,"0",656.462911586444,"Old City",764,4041.84691729142,2835.12131634134,516.299062263262
"421010158001","Block Group 1; Census Tract 158; Philadelphia County; Pennsylvania","1718 TULIP ST",2011,2,3,1920,595000,13.2963166845278,36.4161849710983,72.9374671571203,3.31056227009984,1.40977443609023,56403,0,2860.92772606816,1191.55306599579,867.938948249067,3,8,12425.7968265419,"4",491.324810183912,"Fishtown - Lower Kensington",123,1679.82105168579,0,120.558047986295
"421010300001","Block Group 1; Census Tract 300; Philadelphia County; Pennsylvania","1713 KENNEDY ST",1977,1,3,1260,257000,12.4568313638774,11.9294207901803,13.885692366705,39.8542385884158,7.81426953567384,34865,0,2023.07849148479,1152.22583409189,2112.40570121836,1,3,36144.341887864,"3",1466.2219313432,"Wissinoming",92,9003.80323356061,0,475.437982393453
"421010359002","Block Group 2; Census Tract 359; Philadelphia County; Pennsylvania","1022 FOSTER ST",1960,2,3,1602,393000,12.8815648908514,10.8601216333623,60.642919200695,0.477845351867941,2.06611570247934,73702,0,12558.5142975357,2025.39170647908,2109.89732131373,0,1,69557.0549100449,"0",1742.08244356387,"Somerton",259,4184.69360842785,0,5.18945864322265
"421010020001","Block Group 1; Census Tract 20; Philadelphia County; Pennsylvania","2435 FEDERAL ST",1923,1,3,1456,170000,12.0435537160324,35.827664399093,34.9962207105064,14.8904006046863,4.23940149625935,109963,0,2383.50968761346,1914.25033941457,1250.18825221367,1,4,7716.17135130718,"4",148.002659292759,"Point Breeze",272,8115.27575312912,0,533.488275632752
"421010055001","Block Group 1; Census Tract 55; Philadelphia County; Pennsylvania","2442 ARCOLA ST",1925,1,3,1056,200000,12.2060726455302,15.8640226628895,2.3371104815864,19.6175637393768,3.67985280588776,69646,0,4307.83390708569,1352.26998266651,1890.79462250683,3,4,28093.2729377356,"4",1489.65751655742,"Clearview",339,4976.15449003315,0,311.213475752153
"421010172012","Block Group 2; Census Tract 172.01; Philadelphia County; Pennsylvania","2710 N TAYLOR ST",1915,1,2,954,75000,11.2252433925184,5.14579759862779,0.514579759862779,43.3962264150943,18.4,26393,0,633.005788307898,349.008569919303,955.211169096368,0,5,16149.8929826597,"3",587.316546457785,"Allegheny West",437,6421.75768651517,0,223.3081976763
"421010363034","Block Group 4; Census Tract 363.03; Philadelphia County; Pennsylvania","3421 ORION RD",1973,1,3,1360,330000,12.7068479334427,4.74919957310566,75.1334044823906,8.32443970117396,7.57825370675453,115083,0,20850.5679005705,3443.66372224171,2764.1904295359,1,4,76874.7548040171,"0",4198.21862014873,"Parkwood Manor",63,26096.9573678943,0,39.5344254751592
"421010256001","Block Group 1; Census Tract 256; Philadelphia County; Pennsylvania","511 E MOUNT AIRY AVE",1925,2,3,1590,500000,13.1223633774043,14.7335423197492,48.5109717868339,1.09717868338558,0,121161,0,5621.07366032298,1165.09192192486,2196.2462816718,0,2,42033.4739465494,"1",1822.71089671438,"Mount Airy, East",84,0,0,16.1653285639881
"421010070001","Block Group 1; Census Tract 70; Philadelphia County; Pennsylvania","5326 YOCUM ST",1925,1,3,984,150000,11.9183905730784,8.24742268041237,0.937207122774133,16.776007497657,22.5746268656716,39136,1,2228.50671890667,165.044104654616,960.378664760929,0,4,16293.3499883456,"3",301.929020479616,"Southwest Schuylkill",201,3725.80907895681,16293.3499883456,138.358824722944
"421010082006","Block Group 6; Census Tract 82; Philadelphia County; Pennsylvania","6115 WASHINGTON AVE",1920,1,4,1884,315263,12.6611624900903,5.43773790103317,4.83958673191952,12.5611745513866,18.078381795196,63403,0,1975.96840081343,838.954506862646,1802.44084263125,3,6,23083.2945354314,"2",1826.97944686291,"Cobbs Creek",190,15166.9398838633,0,68.3043749395682
"421010318001","Block Group 1; Census Tract 318; Philadelphia County; Pennsylvania","6110 BUSTLETON AVE",1945,1,3,1202,120000,11.6952470217642,16.8582375478927,20.5619412515964,17.4968071519796,0,49914,0,3499.25397654736,855.056071984064,1713.96426012866,0,2,38502.9197044492,"2",1473.88799555663,"Mayfair",225,0,0,294.96533129774
"421010220001","Block Group 1; Census Tract 220; Philadelphia County; Pennsylvania","700 IVINS RD",1945,2,4,2338,525000,13.1711535415738,17.3333333333333,69.7543859649123,2.45614035087719,9.26594464500602,93667,0,13138.3097857109,9536.728364646,1387.13866946376,1,3,44695.2517525239,"2",706.670367767401,"Upper Roxborough",107,88366.7971212686,0,42.5730994152045
"421010315021","Block Group 1; Census Tract 315.02; Philadelphia County; Pennsylvania","6818 REVERE ST",1925,1,3,1184,250000,12.4292161968444,12.429696287964,41.1136107986502,13.1608548931384,5.4773082942097,39583,0,3353.76470210469,640.432176395848,1003.22620746427,0,2,42654.9973929617,"2",2096.87511463409,"Mayfair",415,3507.84447165175,0,163.585429211675
"421010018002","Block Group 2; Census Tract 18; Philadelphia County; Pennsylvania","1229 WEBSTER ST",1920,1,2,960,225000,12.3238556811866,31.1557788944724,37.286432160804,8.74371859296483,5.39130434782609,100417,0,4549.3692891594,1086.79329925875,122.511310512069,4,14,4534.38943674523,"4",377.47209850041,"Hawthorne",381,5859.23343948193,0,272.4173631979
"421010216001","Block Group 1; Census Tract 216; Philadelphia County; Pennsylvania","100 PARKER AVE",2005,2,3,2043,445000,13.0058295611484,25.5837563451777,72.0812182741117,11.1675126903553,0,119943,0,13782.6529927439,2741.81545396288,2623.20448433071,2,5,36318.3260902321,"2",613.503877841851,"Roxborough Park",99,0,0,285.70692365173
"421010216001","Block Group 1; Census Tract 216; Philadelphia County; Pennsylvania","100 PARKER AVE",2005,2,3,2043,445000,13.0058295611484,25.5837563451777,72.0812182741117,11.1675126903553,0,119943,0,13782.6529927439,2741.81545396288,2623.20448433071,2,5,36318.3260902321,"2",613.503877841851,"Roxborough Park",99,0,0,285.70692365173
"421010216001","Block Group 1; Census Tract 216; Philadelphia County; Pennsylvania","100 PARKER AVE",2005,2,3,2043,445000,13.0058295611484,25.5837563451777,72.0812182741117,11.1675126903553,0,119943,0,13782.6529927439,2741.81545396288,2623.20448433071,2,5,36318.3260902321,"2",613.503877841851,"Roxborough Park",99,0,0,285.70692365173
"421010216001","Block Group 1; Census Tract 216; Philadelphia County; Pennsylvania","100 PARKER AVE",2005,2,3,2043,445000,13.0058295611484,25.5837563451777,72.0812182741117,11.1675126903553,0,119943,0,13782.6529927439,2741.81545396288,2623.20448433071,2,5,36318.3260902321,"2",613.503877841851,"Roxborough Park",99,0,0,285.70692365173
"421010216001","Block Group 1; Census Tract 216; Philadelphia County; Pennsylvania","100 PARKER AVE",2005,2,3,2043,445000,13.0058295611484,25.5837563451777,72.0812182741117,11.1675126903553,0,119943,0,13782.6529927439,2741.81545396288,2623.20448433071,2,5,36318.3260902321,"2",613.503877841851,"Roxborough Park",99,0,0,285.70692365173
"421010216001","Block Group 1; Census Tract 216; Philadelphia County; Pennsylvania","100 PARKER AVE",2005,2,3,2043,445000,13.0058295611484,25.5837563451777,72.0812182741117,11.1675126903553,0,119943,0,13782.6529927439,2741.81545396288,2623.20448433071,2,5,36318.3260902321,"2",613.503877841851,"Roxborough Park",99,0,0,285.70692365173
"421010216001","Block Group 1; Census Tract 216; Philadelphia County; Pennsylvania","100 PARKER AVE",2005,2,3,2043,445000,13.0058295611484,25.5837563451777,72.0812182741117,11.1675126903553,0,119943,0,13782.6529927439,2741.81545396288,2623.20448433071,2,5,36318.3260902321,"2",613.503877841851,"Roxborough Park",99,0,0,285.70692365173
"421010364001","Block Group 1; Census Tract 364; Philadelphia County; Pennsylvania","15124 WILDFLOWER WAY",2016,2,2,1501,390000,12.8739020181058,13.091641490433,77.4420946626385,17.0191339375629,5.71428571428571,82000,0,21612.6277712521,6301.33976965895,7330.22846921305,1,2,78941.1510253611,"0",3159.64766315455,"Byberry",215,36007.6558266225,0,222.808399988235
"421010314021","Block Group 1; Census Tract 314.02; Philadelphia County; Pennsylvania","2205 PRINCETON AVE",1950,2,3,1152,268000,12.498742259493,7.07692307692308,22.5846153846154,46.0923076923077,6.06060606060606,47667,0,2545.37910007405,573.843524859695,775.505293903135,0,1,44101.7551378208,"2",2665.01982630202,"Oxford Circle",135,3477.83954460421,0,326.191715976332
